energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,8.540565475746346775e-29,3.457964175849845199e-23,1.819864143328228164e-28,3.624216009113966834e-05
-9.979979979979979987e+00,1.154693481269692946e-28,3.869100133410416184e-23,2.400233481885014656e-28,3.699211684409146428e-05
-9.959959959959959974e+00,1.566645199667730485e-28,4.334635658437057820e-23,3.177245138903341691e-28,3.778464014536166203e-05
-9.939939939939939961e+00,2.133328147275966052e-28,4.862570505844003653e-23,4.221746070797891363e-28,3.862406935693388037e-05
-9.919919919919919948e+00,2.916026512052830946e-28,5.462213076259471766e-23,5.631753783109486793e-28,3.951537530767008417e-05
-9.899899899899899935e+00,4.001665696835474133e-28,6.144419378566071974e-23,7.543562657633842496e-28,4.046427883947409772e-05
-9.879879879879879923e+00,5.514168427314772938e-28,6.921881005502316104e-23,1.014769648314941110e-27,4.147739667043403103e-05
-9.859859859859859910e+00,7.631146748294631447e-28,7.809473515204848025e-23,1.371196849069677228e-27,4.256242208217084693e-05
-9.839839839839839897e+00,1.060859653335298348e-27,8.824679644603259540e-23,1.861504078506706898e-27,4.372835035331888530e-05
-9.819819819819819884e+00,1.481768245023572395e-27,9.988105747709705415e-23,2.539561266893206625e-27,4.498576217285344591e-05
-9.799799799799799871e+00,2.079993301793556478e-27,1.132411508806546987e-22,3.482506278665943510e-27,4.634718285706763117e-05
-9.779779779779779858e+00,2.935070328460692534e-27,1.286160859493938379e-22,4.801559287534951976e-27,4.782754162751724514e-05
-9.759759759759759845e+00,4.164642920072423317e-27,1.463499310030822326e-22,6.658260724242669623e-27,4.944476433343398386e-05
-9.739739739739739832e+00,5.944037450723041088e-27,1.668538990496402584e-22,9.289077011220144643e-27,5.122054611582049452e-05
-9.719719719719719819e+00,8.536661038297555912e-27,1.906215425581068914e-22,1.304305430308870334e-26,5.318136961711311173e-05
-9.699699699699699806e+00,1.234169353793740269e-26,2.182480118436085498e-22,1.844005240658099166e-26,5.535986259862076339e-05
-9.679679679679679793e+00,1.796974764267861880e-26,2.504546859223034507e-22,2.626184411234594125e-26,5.779663130450501030e-05
-9.659659659659659781e+00,2.636435656270462457e-26,2.881209986545988992e-22,3.769641156639620647e-26,6.054277089484682249e-05
-9.639639639639639768e+00,3.899963930606242806e-26,3.323260431628153556e-22,5.456962832048207273e-26,6.366335561709165873e-05
-9.619619619619619755e+00,5.820661053335846044e-26,3.844036864096379643e-22,7.972283333260764714e-26,6.724237280675344933e-05
-9.599599599599599742e+00,8.772057280360604074e-26,4.460167043393660124e-22,1.176383767187986986e-25,7.138982794493344149e-05
-9.579579579579579729e+00,1.336159297859193374e-25,5.192582753023206433e-22,1.754951251935099035e-25,7.625218808860660755e-05
-9.559559559559559716e+00,2.059349248949264456e-25,6.067937989399248363e-22,2.649863089872447655e-25,8.202808833354300298e-05
-9.539539539539539703e+00,3.215904369816900007e-25,7.120638423401991602e-22,4.055235518235499773e-25,8.899257160767837672e-05
-9.519519519519519690e+00,5.096749587728199611e-25,8.395827743798457832e-22,6.300348730322888363e-25,9.753561080176274530e-05
-9.499499499499499677e+00,8.214642331121774104e-25,9.953928451621456830e-22,9.957799034326292735e-25,1.082254193561473703e-04
-9.479479479479479664e+00,1.349934791571620486e-24,1.187781860493595506e-21,1.605249795492500910e-24,1.219166269653569807e-04
-9.459459459459459651e+00,2.269445562582553619e-24,1.428470800967336190e-21,2.648277911644931916e-24,1.399437359573714999e-04
-9.439439439439439639e+00,3.920515993025986029e-24,1.734690234899775866e-21,4.491251384552226109e-24,1.644863801418467223e-04
-9.419419419419419626e+00,7.002306101383388989e-24,2.133060793547612744e-21,7.878073934489930917e-24,1.993058337181072097e-04
-9.399399399399399613e+00,1.304430314866695737e-23,2.667465933193373759e-21,1.441908872325841471e-23,2.513562678816025310e-04
-9.379379379379379600e+00,2.568230666120229682e-23,3.416773794301872957e-21,2.790495765385307441e-23,3.346964114954284388e-04
-9.359359359359359587e+00,5.460169372291083717e-23,4.540574273729836829e-21,5.834266937089146640e-23,4.813942770095172184e-04
-9.339339339339339574e+00,1.302714796839728558e-22,6.422011090637745377e-21,1.369542653684805203e-22,7.784542811426642004e-04
-9.319319319319319561e+00,3.780042458537496552e-22,1.026511426150663858e-20,3.911954050201214388e-22,1.536586287811512845e-03
-9.299299299299299548e+00,1.664834486987368548e-21,2.236118782119188570e-20,1.696978614620770193e-21,4.629458993168404646e-03
