energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,2.353781382622716881e-29,6.253326459297353937e-27,1.121376489233170767e-27,3.491421526325060254e-05
-9.979979979979979987e+00,3.150759441091696815e-29,7.605515675392834529e-27,1.374840744338083876e-27,3.556540413861600090e-05
-9.959959959959959974e+00,4.230979509602539129e-29,9.273587720208599092e-27,1.689961351152514406e-27,3.624853594433905484e-05
-9.939939939939939961e+00,5.700248600674992842e-29,1.133740423523951511e-26,2.082907460472195522e-27,3.696643730541373488e-05
-9.919919919919919948e+00,7.705986125664464239e-29,1.389872261588290374e-26,2.574428886150091084e-27,3.772229578665708521e-05
-9.899899899899899935e+00,1.045448573554889455e-28,1.708772088220283139e-26,3.191261164477435907e-27,3.851971970247165204e-05
-9.879879879879879923e+00,1.423574576799008158e-28,2.107164095990376813e-26,3.967998410615034202e-27,3.936281011546942463e-05
-9.859859859859859910e+00,1.945938410037762633e-28,2.606630150248063729e-26,4.949603453813012167e-27,4.025624798524534391e-05
-9.839839839839839897e+00,2.670688793883197155e-28,3.235152291448867436e-26,6.194791718743951014e-27,4.120540026905923327e-05
-9.819819819819819884e+00,3.680809551661467635e-28,4.029192287348487651e-26,7.780621256300442230e-27,4.221644989138884253e-05
-9.799799799799799871e+00,5.095387675824587455e-28,5.036513844832834631e-26,9.808759924142021803e-27,4.329655599159137631e-05
-9.779779779779779858e+00,7.086329368390402864e-28,6.320039880701438172e-26,1.241410281306612352e-26,4.445405287370293886e-05
-9.759759759759759845e+00,9.903340608770705093e-28,7.963164524693384617e-26,1.577671064830044574e-26,4.569869882865003303e-05
-9.739739739739739832e+00,1.391155171192777146e-27,1.007712819480943873e-25,2.013848293800954045e-26,4.704198978045879133e-05
-9.719719719719719819e+00,1.964866287505013467e-27,1.281134702541484632e-25,2.582664677104584313e-26,4.849755797103406826e-05
-9.699699699699699806e+00,2.791252475547584203e-27,1.636801760512572571e-25,3.328715929268876654e-26,5.008168330831818906e-05
-9.679679679679679793e+00,3.989667508437729745e-27,2.102297941843826863e-25,4.313269366690029667e-26,5.181395556599190718e-05
-9.659659659659659781e+00,5.740231193348824365e-27,2.715585073428525749e-25,5.621234306751397187e-26,5.371814088237487450e-05
-9.639639639639639768e+00,8.317363354577195619e-27,3.529409426656000610e-25,7.371410449228967897e-26,5.582332836738462470e-05
-9.619619619619619755e+00,1.214350371433909389e-26,4.617831988655614846e-25,9.731757226294448441e-26,5.816546590528557986e-05
-9.599599599599599742e+00,1.787636336597225077e-26,6.086049902647520285e-25,1.294247975840774775e-25,6.078944460583950724e-05
-9.579579579579579729e+00,2.655281560363861405e-26,8.085411601149936685e-25,1.735150448380902306e-25,6.375196898413027261e-05
-9.559559559559559716e+00,3.983025619388080757e-26,1.083679502081743165e-24,2.346999042837329694e-25,6.712557200825339070e-05
-9.539539539539539703e+00,6.039923669882127781e-26,1.466776027088812183e-24,3.206097641341142078e-25,7.100433032358986491e-05
-9.519519519519519690e+00,9.270424721138641643e-26,2.007297541410686079e-24,4.428423641170135485e-25,7.551215794571109385e-05
-9.499499499499499677e+00,1.442340313021361272e-25,2.781511980680489128e-24,6.193926641752559522e-25,8.081510291909364872e-05
-9.479479479479479664e+00,2.278976231797480966e-25,3.909856345320515830e-24,8.788534711667450457e-25,8.714002314136726332e-05
-9.459459459459459651e+00,3.665459971251117487e-25,5.587901509386271194e-24,1.267935870902160082e-24,9.480373235168964761e-05
-9.439439439439439639e+00,6.019173873390909527e-25,8.143887762660016938e-24,1.865498516901547029e-24,1.042599165980048726e-04
-9.419419419419419626e+00,1.013176119302431812e-24,1.215102598229858259e-23,2.810034339105880727e-24,1.161773940020331436e-04
-9.399399399399399613e+00,1.757573881974697624e-24,1.866016351480739288e-23,4.356821363731310360e-24,1.315761790184904903e-04
-9.379379379379379600e+00,3.166155961402699292e-24,2.971871965435695832e-23,7.005821491310647348e-24,1.520758888108392421e-04
-9.359359359359359587e+00,5.990331950071942306e-24,4.964175306570333477e-23,1.181594714990554135e-23,1.803765817824548351e-04
-9.339339339339339574e+00,1.211798366119963515e-23,8.853335696106045729e-23,2.127831122299270647e-23,2.212585332542991990e-04
-9.319319319319319561e+00,2.703106254180034353e-23,1.738522702020205108e-22,4.219237900192547536e-23,2.838559840387619459e-04
-9.299299299299299548e+00,7.064433716467176756e-23,3.993677451862183020e-22,9.787295074840295169e-23,3.874650131751060573e-04
-9.279279279279279535e+00,2.508997739922959265e-22,1.244767687491687672e-21,3.080522139205203112e-22,5.789081819323640792e-04
-9.259259259259259522e+00,2.178821189049472784e-21,9.470901435142851571e-21,2.366907176870870063e-21,9.977789265320925315e-04
-9.239239239239239510e+00,1.243905960074676179e-20,4.729361235841918073e-20,1.193577525215645684e-20,2.232170903694222653e-03
-9.219219219219219497e+00,1.084050688750220693e-21,3.598707248678729911e-21,9.171777776323760801e-22,9.567182539249492745e-03
-9.199199199199199484e+00,4.999973982912320889e-22,1.446624498482932545e-21,3.723213575370177986e-22,1.082434842046523293e+00
-9.179179179179179471e+00,3.481290205208307819e-22,8.761939118427414635e-22,2.277239335075928753e-22,6.811724906240025634e-03
-9.159159159159159458e+00,2.943644358708469211e-22,6.432342908198486447e-22,1.688142823309592546e-22,1.902958272584196918e-03
-9.139139139139139445e+00,2.793086499440327539e-22,5.288285937729669113e-22,1.401408594867001606e-22,9.153944048473855802e-04
-9.119119119119119432e+00,2.864219124858977970e-22,4.688970676055586114e-22,1.254606090623697011e-22,5.616742804802055383e-04
-9.099099099099099419e+00,3.109121855994421337e-22,4.391530131970492611e-22,1.186277945604768634e-22,3.983093822324464432e-04
-9.079079079079079406e+00,3.527930353572182112e-22,4.289877602829169443e-22,1.169784325458428430e-22,3.119349240402372156e-04
-9.059059059059059393e+00,4.150862610442104442e-22,4.335375023285827710e-22,1.193203468002947386e-22,2.630867411616598177e-04
-9.039039039039039380e+00,5.036625601512317207e-22,4.508054918522028938e-22,1.252060996820947429e-22,2.353058046207294170e-04
-9.019019019019019368e+00,6.279367811593567726e-22,4.805207744146378492e-22,1.346482867281176413e-22,2.209945996349922865e-04
-8.998998998998999355e+00,8.023580114822460996e-22,5.237133503313749260e-22,1.480192546301991537e-22,2.166107233267317370e-04
-8.978978978978979342e+00,1.048980274040448556e-21,5.826589138793465752e-22,1.660484794773944896e-22,2.208664964947741768e-04
-8.958958958958959329e+00,1.401750440615578766e-21,6.610882731342500585e-22,1.898930681054077590e-22,2.341485044357550431e-04
-8.938938938938939316e+00,1.913702609533483716e-21,7.646743060047527810e-22,2.212882195732579545e-22,2.586736142461093339e-04
-8.918918918918919303e+00,2.669256857439621503e-21,9.019049964106334162e-22,2.628114914234749764e-22,2.995052351044097221e-04
-8.898898898898899290e+00,3.805773848518763478e-21,1.085581256110967284e-21,3.183329211145913590e-22,3.673289297811107635e-04
-8.878878878878879277e+00,5.552467272187921610e-21,1.335410811852124065e-21,3.937923383118522252e-22,4.860694601576116651e-04
-8.858858858858859264e+00,8.303125519514551742e-21,1.682636502960747265e-21,4.985850889794612697e-22,7.170891250018507400e-04
-8.838838838838839251e+00,1.275764833293828071e-20,2.178644015497964088e-21,6.481397501993351202e-22,1.258016404429059291e-03
-8.818818818818819238e+00,2.021113558889660827e-20,2.911810577218837209e-21,8.689688049976925455e-22,3.068480509945317476e-03
-8.798798798798799226e+00,3.317986249998623544e-20,4.042592758902834254e-21,1.209204240883950385e-21,1.938569879119078979e-02
-8.778778778778779213e+00,5.685832383329056135e-20,5.882364561034583601e-21,1.762321899007099657e-21,6.215862603852471968e-02
-8.758758758758759200e+00,1.028374957980997633e-19,9.088314486267871376e-21,2.725945277098079990e-21,4.448460802406007525e-03
-8.738738738738739187e+00,1.998187110489060336e-19,1.520923518547624773e-20,4.567004196111196044e-21,1.578821318825928115e-03
-8.718718718718719174e+00,4.301549347942102016e-19,2.849983828245243703e-20,8.572474314627275692e-21,8.665062108696577415e-04
-8.698698698698699161e+00,1.090335677762973034e-18,6.370497419876405971e-20,1.921990394997498703e-20,5.955597152132310413e-04
-8.678678678678679148e+00,3.779726450273673830e-18,1.977225698989282937e-19,5.996197565654055122e-20,4.739324726059074137e-04
-8.658658658658659135e+00,3.258239528702300765e-17,1.551896274905133129e-18,4.744323403316764822e-19,4.204456808137138667e-04
-8.638638638638639122e+00,1.671864340470894170e-16,7.379899872385923904e-18,2.282059498907322978e-18,4.077222177852057872e-04
-8.618618618618619109e+00,1.494412754781201990e-17,6.222581075232683031e-19,1.953243993665281858e-19,4.285771906408833150e-04
-8.598598598598599096e+00,6.840697893865176568e-18,2.732370905179136726e-19,8.735476073067977607e-20,4.889500869047490620e-04
-8.578578578578579084e+00,4.726245919280611575e-18,1.838528872758953580e-19,6.003478554276452167e-20,6.132624348892548680e-04
-8.558558558558559071e+00,3.974840838294769413e-18,1.525592175698613033e-19,5.098931910304135453e-20,8.725378024955401240e-04
-8.538538538538539058e+00,3.762284313422110274e-18,1.440007743144223520e-19,4.933128923468438388e-20,1.511058737550525230e-03
-8.518518518518519045e+00,3.860729971172097215e-18,1.485927345020915212e-19,5.221579183531516591e-20,3.837519977322760220e-03
-8.498498498498499032e+00,4.207225091555420420e-18,1.638453738671141705e-19,5.907394317886377974e-20,3.391748285331813717e-02
-8.478478478478479019e+00,4.808246541530767944e-18,1.902971484646093597e-19,7.038960674650178458e-20,3.033501660995257740e-02
-8.458458458458459006e+00,5.716532142582061257e-18,2.305821533517186747e-19,8.747375903778689379e-20,3.824963664104681638e-03
-8.438438438438438993e+00,7.031994004236581213e-18,2.895625314411680269e-19,1.126113409053303147e-19,1.719558542592867926e-03
-8.418418418418418980e+00,8.916771775878096394e-18,3.751243288550528489e-19,1.494852826650316621e-19,1.296338205134006530e-03
-8.398398398398398967e+00,1.162529782636778614e-17,4.997205541106300978e-19,2.039558898644306876e-19,1.459671652686386767e-03
-8.378378378378378954e+00,1.555641593178823578e-17,6.830475028278553260e-19,2.854099923112789983e-19,2.556657560370684690e-03
-8.358358358358358942e+00,2.134199330151965520e-17,9.566304799127368363e-19,4.090954312347217804e-19,9.713128966439204398e-03
-8.338338338338338929e+00,2.999886359777833853e-17,1.371770669937909422e-18,6.002209911142007033e-19,1.237389613728459681e+00
-8.318318318318318916e+00,4.319388605333896885e-17,2.013580687180110652e-18,9.013044339761468020e-19,7.070191727749032887e-03
-8.298298298298298903e+00,6.371613518114290886e-17,3.026340863979509257e-18,1.385651654103339253e-18,2.085994196961821288e-03
-8.278278278278278890e+00,9.633804188532131911e-17,4.660479701812619030e-18,2.182726351759223633e-18,1.080520769196501810e-03
-8.258258258258258877e+00,1.494267576693912260e-16,7.362078939657811988e-18,3.527266592507297735e-18,7.184428134258996797e-04
-8.238238238238238864e+00,2.380453022287966717e-16,1.194871358958500170e-17,5.857378524123135206e-18,5.515138904938367672e-04
-8.218218218218218851e+00,3.901079632245425755e-16,1.996685905027800476e-17,1.001730320404469091e-17,4.651218308758890674e-04
-8.198198198198198838e+00,6.590217404501848637e-16,3.444642984964601991e-17,1.769293042763501947e-17,4.193952492278333363e-04
-8.178178178178178825e+00,1.150652115579856039e-15,6.156309130282995963e-17,3.238837059536735073e-17,3.978752178174038787e-04
-8.158158158158158813e+00,2.083346440390518562e-15,1.144819555101939234e-16,6.172526754441115153e-17,3.932948583589387015e-04
-8.138138138138138800e+00,3.928147938934305042e-15,2.227529545083534663e-16,1.231678997690833254e-16,4.028245681500798028e-04
-8.118118118118118787e+00,7.754983063971740207e-15,4.568186631887176166e-16,2.592372025006111293e-16,4.264429759169956202e-04
-8.098098098098098774e+00,1.614431772700264886e-14,9.972076843538656370e-16,5.812205212333792043e-16,4.667317487425135880e-04
-8.078078078078078761e+00,3.577996799659174170e-14,2.354165239342539085e-15,1.408770600205023868e-15,5.298522566700068987e-04
-8.058058058058058748e+00,9.162988191383121413e-14,2.286454148966687144e-14,9.868431458399674007e-15,6.285119499920123563e-04
-8.038038038038038735e+00,2.244427974056260887e-13,1.742721593467549255e-14,1.112309680167523312e-14,7.900280665923992574e-04
-8.018018018018018722e+00,6.657378754906625305e-13,5.881740892665994396e-14,3.888656263405583769e-14,1.081247156088392019e-03
-7.997997997997997821e+00,2.336340563596375032e-12,2.479141667426024759e-13,1.701386937196415004e-13,1.707480788172330071e-03
-7.977977977977977808e+00,1.056094519771781172e-11,1.467305336771730751e-12,1.049463893022919429e-12,3.625307188381632698e-03
-7.957957957957957795e+00,7.479254761853555833e-11,1.601321281525272398e-11,1.200640595114054193e-11,1.978174155283877675e-02
-7.937937937937937782e+00,1.827019028745136183e-09,8.981874887956400864e-10,7.126802447236821975e-10,5.844594883406897812e-02
-7.917917917917917769e+00,2.203786472531088807e-09,2.786563404946771870e-08,2.385943465592797251e-08,1.154052542069317587e-02
-7.897897897897897757e+00,2.044559398552666107e-01,3.058976253706335163e-02,3.058668838923975231e-02,2.785629216728106172e+01
-7.877877877877877744e+00,4.862270959496806100e-01,2.704960751223946941e-02,2.704853978293287470e-02,1.437459739505516154e+01
-7.857857857857857731e+00,5.654295085225600204e-01,1.659359854791875311e-02,1.659311599518124153e-02,1.235919171408553652e+01
