energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,2.455037032857218135e-29,1.859802910221789977e-26,4.843043434576551099e-28,3.511508412460619848e-05
-9.979979979979979987e+00,3.287252333746661637e-29,2.227133527006650848e-26,6.029101275831863318e-28,3.579955797383769373e-05
-9.959959959959959974e+00,4.415584624216124642e-29,2.673062568048407435e-26,7.526969632382105105e-28,3.652060992691985873e-05
-9.939939939939939961e+00,5.950786609822255991e-29,3.215845215093013221e-26,9.424771951775013411e-28,3.728179871747330901e-05
-9.919919919919919948e+00,8.047223723155403987e-29,3.878350259510631659e-26,1.183744882497896050e-27,3.808718024407051981e-05
-9.899899899899899935e+00,1.092098929323924337e-28,4.689332501418957061e-26,1.491556106070053750e-27,3.894139721624565272e-05
-9.879879879879879923e+00,1.487597301491919250e-28,5.685089292180408296e-26,1.885721595372256694e-27,3.984978861332196074e-05
-9.859859859859859910e+00,2.034158218834134969e-28,6.911628580648364912e-26,2.392431677209467590e-27,4.081852416807690484e-05
-9.839839839839839897e+00,2.792764302452901136e-28,8.427522333536349229e-26,3.046483588017361522e-27,4.185477068865972334e-05
-9.819819819819819884e+00,3.850479907742812382e-28,1.030768446625787028e-25,3.894353921706823032e-27,4.296689920068826242e-05
-9.799799799799799871e+00,5.332301641465783871e-28,1.264840481112362066e-25,4.998465618291083372e-27,4.416474485632099000e-05
-9.779779779779779858e+00,7.418746722879211891e-28,1.557410266980716503e-25,6.443156694688682302e-27,4.545993565254572306e-05
-9.759759759759759845e+00,1.037214990149869239e-27,1.924645405375423253e-25,8.343093753093225104e-27,4.686631172031075252e-05
-9.739739739739739832e+00,1.457629047506688269e-27,2.387682476123615253e-25,1.085522953598375821e-26,4.840046502743233710e-05
-9.719719719719719819e+00,2.059661038879683817e-27,2.974335191240788927e-25,1.419594808746544656e-26,5.008244090112605305e-05
-9.699699699699699806e+00,2.927255314793258174e-27,3.721463025187218700e-25,1.866588302837207147e-26,5.193665954540272053e-05
-9.679679679679679793e+00,4.186054337647156803e-27,4.678288972009542782e-25,2.468621434451877635e-26,5.399314040557590843e-05
-9.659659659659659781e+00,6.025772873635744299e-27,5.911098194324508977e-25,3.285234845754142712e-26,5.628914912230029225e-05
-9.639639639639639768e+00,8.735614806347672644e-27,7.509973139019968718e-25,4.401427872129740142e-26,5.887144291692530344e-05
-9.619619619619619755e+00,1.276104422804215310e-26,9.598577009162605234e-25,5.939850086497404107e-26,6.179937716601121417e-05
-9.599599599599599742e+00,1.879605179300213966e-26,1.234857600608995821e-24,8.079570362672865556e-26,6.514927335830579492e-05
-9.579579579579579729e+00,2.793541741118950769e-26,1.600125067436815192e-24,1.108544472167534914e-25,6.902067087192773954e-05
-9.559559559559559716e+00,4.193029119683473499e-26,2.090047824553341145e-24,1.535490536982296797e-25,7.354545340423221064e-05
-9.539539539539539703e+00,6.362545686186146559e-26,2.754411650334405272e-24,2.149402901083891701e-25,7.890146856255294324e-05
-9.519519519519519690e+00,9.772372146774522310e-26,3.666594535518484118e-24,3.044406378884551146e-25,8.533336193187142696e-05
-9.499499499499499677e+00,1.521553951204496072e-25,4.936986427673828697e-24,4.369742863383094495e-25,9.318535270147301796e-05
-9.479479479479479664e+00,2.406022550470263005e-25,6.735650839539485762e-24,6.367763351858465987e-25,1.029544719202076008e-04
-9.459459459459459651e+00,3.873050715715037780e-25,9.331980060573537396e-24,9.443109919249281230e-25,1.153802906072043399e-04
-9.439439439439439639e+00,6.365838046926275568e-25,1.316705264944119750e-23,1.429393470606782996e-24,1.316028078869188806e-04
