energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,2.803835093979397173e-29,7.154487960878798357e-26,2.644509408700741576e-28,3.519311388498710697e-05
-9.979979979979979987e+00,3.757546965752422594e-29,8.437885826705024681e-26,3.341381300586943541e-28,3.588175949557899467e-05
-9.959959959959959974e+00,5.051829633336901520e-29,9.971232302917639344e-26,4.234866965671156833e-28,3.660733172792911272e-05
-9.939939939939939961e+00,6.814543294674803388e-29,1.180749064863491299e-25,5.384423437799458253e-28,3.737343135887781915e-05
-9.919919919919919948e+00,9.224096072706219401e-29,1.401186998831487618e-25,6.868803849849240976e-28,3.818416314183842314e-05
-9.899899899899899935e+00,1.253052593162220942e-28,1.666492597257977409e-25,8.792787737889673697e-28,3.904422685268200559e-05
-9.879879879879879923e+00,1.708587773627873625e-28,1.986652473449398570e-25,1.129643826159630239e-27,3.995902849880813255e-05
-9.859859859859859910e+00,2.338821801643145119e-28,2.374093559985772833e-25,1.456790938312902965e-27,4.093481700727223151e-05
-9.839839839839839897e+00,3.214578519678326143e-28,2.844340853659194735e-25,1.886127350333835834e-27,4.197885334499428694e-05
-9.819819819819819884e+00,4.437106767551842259e-28,3.416871721210841872e-25,2.452149935132549219e-27,4.309962124245753713e-05
-9.799799799799799871e+00,6.151967979341960258e-28,4.116232231613851945e-25,3.201968983702197141e-27,4.430709172748421810e-05
-9.779779779779779858e+00,8.569679969091393835e-28,4.973505392741760230e-25,4.200315958256077966e-27,4.561305787138040223e-05
-9.759759759759759845e+00,1.199663198317280148e-27,6.028255809805588727e-25,5.536715900538760571e-27,4.703156201385681680e-05
-9.739739739739739832e+00,1.688174920985716171e-27,7.331124973304286378e-25,7.335846210654575017e-27,4.857944602610830348e-05
-9.719719719719719819e+00,2.388752964698940479e-27,8.947323510636125305e-25,9.772631689721356883e-27,5.027706704827867218e-05
-9.699699699699699806e+00,3.399917225737410053e-27,1.096137277634325444e-24,1.309445388599198916e-26,5.214923837957922395e-05
-9.679679679679679793e+00,4.869387742557674425e-27,1.348360624274547226e-24,1.765416863150081222e-26,5.422648059958233303e-05
-9.659659659659659781e+00,7.020630991013324196e-27,1.665918043415344793e-24,2.395974679263839100e-26,5.654670601565489846e-05
-9.639639639639639768e+00,1.019496964085849743e-26,2.068071338811776861e-24,3.274982668152367274e-26,5.915751741842818800e-05
-9.619619619619619755e+00,1.491923231458983275e-26,2.580624574289267446e-24,4.511025307533539579e-26,6.211939193979015882e-05
-9.599599599599599742e+00,2.201595900635066404e-26,3.238514233948637240e-24,6.265650169416819370e-26,6.551016304439077464e-05
