energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,3.541184721913029834e-29,3.872618516861033958e-25,1.821699077788123980e-28,3.491421526325060254e-05
-9.979979979979979987e+00,4.753239054075935071e-29,4.489648420988577672e-25,2.334929465019596355e-28,3.556540413861600090e-05
-9.959959959959959974e+00,6.400983644490844514e-29,5.214002973630531483e-25,3.002557504711570738e-28,3.624853594433905484e-05
-9.939939939939939961e+00,8.649132056266383622e-29,6.066091955005874359e-25,3.874222710565517479e-28,3.696643730541373488e-05
-9.919919919919919948e+00,1.172799409163697557e-28,7.070580015646131894e-25,5.016638012048582655e-28,3.772229578665708521e-05
-9.899899899899899935e+00,1.596104498090344712e-28,8.257362839248398136e-25,6.519879781088612253e-28,3.851971970247165204e-05
-9.879879879879879923e+00,2.180474811857719411e-28,9.662790981755991495e-25,8.506163529537814720e-28,3.936281011546942463e-05
-9.859859859859859910e+00,2.990640422041168285e-28,1.133121127634329999e-24,1.114216063147882399e-27,4.025624798524534391e-05
-9.839839839839839897e+00,4.118868989113515847e-28,1.331691775230225669e-24,1.465639370400539466e-27,4.120540026905923327e-05
-9.819819819819819884e+00,5.697398050563775100e-28,1.568663389910053179e-24,1.936396824125927805e-27,4.221644989138884253e-05
-9.799799799799799871e+00,7.916840505142410319e-28,1.852268894519975891e-24,2.570198232660368578e-27,4.329655599159137631e-05
-9.779779779779779858e+00,1.105362704679445527e-27,2.192710715823756828e-24,3.428060435045636084e-27,4.445405287370293886e-05
-9.759759759759759845e+00,1.551123268054269892e-27,2.602690768617006700e-24,4.595733896846972855e-27,4.569869882865003303e-05
-9.739739739739739832e+00,2.188261230634956379e-27,3.098102309174374892e-24,6.194592794874601379e-27,4.704198978045879133e-05
-9.719719719719719819e+00,3.104557682161148104e-27,3.698940250682226504e-24,8.397749563021476200e-27,4.849755797103406826e-05
-9.699699699699699806e+00,4.430984862781300897e-27,4.430509329430372380e-24,1.145413428147959575e-26,5.008168330831818906e-05
-9.679679679679679793e+00,6.364608395096393832e-27,5.325042920591708401e-24,1.572485666905322736e-26,5.181395556599190718e-05
-9.659659659659659781e+00,9.204644715466044423e-27,6.423895037802575918e-24,2.173874599222266897e-26,5.371814088237487450e-05
-9.639639639639639768e+00,1.340990604342459720e-26,7.780543365423187542e-24,3.027824326551681645e-26,5.582332836738462470e-05
-9.619619619619619755e+00,1.969151209587311747e-26,9.464757386197451018e-24,4.251404796818649837e-26,5.816546590528557986e-05
-9.599599599599599742e+00,2.916466757181158375e-26,1.156846874616690295e-23,6.021936499075112796e-26,6.078944460583950724e-05
-9.579579579579579729e+00,4.360108740643999344e-26,1.421417610620913720e-23,8.611647625553363505e-26,6.375196898413027261e-05
-9.559559559559559716e+00,6.585625953107019723e-26,1.756720468932691477e-23,1.244477412485804720e-25,6.712557200825339070e-05
-9.539539539539539703e+00,1.006070615897581320e-25,2.185397083008224906e-23,1.819358928592780180e-25,7.100433032358986491e-05
-9.519519519519519690e+00,1.556539400100874000e-25,2.738985968916214925e-23,2.694369661702532765e-25,7.551215794571109385e-05
-9.499499499499499677e+00,2.442791940622308999e-25,3.462297841908754524e-23,4.048617001253133750e-25,8.081510291909364872e-05
-9.479479479479479664e+00,3.896455961824909908e-25,4.420508078768603255e-23,6.184985018413176899e-25,8.714002314136726332e-05
-9.459459459459459651e+00,6.332878031067150676e-25,5.711096473414337283e-23,9.630623262556253386e-25,9.480373235168964761e-05
-9.439439439439439639e+00,1.052186271199215454e-24,7.484864474698969301e-23,1.533476180378287080e-24,1.042599165980048726e-04
-9.419419419419419626e+00,1.794821977730061923e-24,9.984959180723046443e-23,2.507815358494687254e-24,1.161773940020331436e-04
-9.399399399399399613e+00,3.162023948192769116e-24,1.362418399860209072e-22,4.237411410985300208e-24,1.315761790184904903e-04
