energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,1.669813911769310109e-28,7.697868321987190178e-22,2.665334788553519784e-28,3.681340792412321971e-05
-9.979979979979979987e+00,2.268585978094908583e-28,8.417489526341407563e-22,3.562005879627002286e-28,3.759555528703660939e-05
-9.959959959959959974e+00,3.093405458814770387e-28,9.214321255545771129e-22,4.778474275460481900e-28,3.842315321418642254e-05
-9.939939939939939961e+00,4.234246492435566853e-28,1.009779048369193915e-21,6.435770114306959198e-28,3.930091418405471651e-05
-9.919919919919919948e+00,5.818904450123975388e-28,1.107862862794086995e-21,8.703586768633166975e-28,4.023424662183267122e-05
-9.899899899899899935e+00,8.029817345199868379e-28,1.216907618494232733e-21,1.182109730311871223e-27,4.122938751325454552e-05
-9.879879879879879923e+00,1.112881955505946545e-27,1.338312394427966520e-21,1.612725994707315980e-27,4.229356606350681504e-05
-9.859859859859859910e+00,1.549380292791487145e-27,1.473679830026995151e-21,2.210523058612601853e-27,4.343520707764200755e-05
-9.839839839839839897e+00,2.167338256195383672e-27,1.624849998639590754e-21,3.044790472807372583e-27,4.466418557985813961e-05
-9.819819819819819884e+00,3.046899711875236345e-27,1.793940787027673835e-21,4.215535832686310178e-27,4.599214810537989850e-05
-9.799799799799799871e+00,4.305915604054808569e-27,1.983396244381399224e-21,5.868085203661377764e-27,4.743292155658924796e-05
-9.779779779779779858e+00,6.118900370711933815e-27,2.196044756478786856e-21,8.215143400980413767e-27,4.900303821015939321e-05
-9.759759759759759845e+00,8.746205808025927332e-27,2.435169419691128210e-21,1.157042352272693311e-26,5.072241644725559978e-05
-9.739739739739739832e+00,1.257933899698165269e-26,2.704593685300798594e-21,1.640040383500234987e-26,5.261525267252076802e-05
-9.719719719719719819e+00,1.821206555812130635e-26,3.008786290327375991e-21,2.340480279365328812e-26,5.471120321688048945e-05
-9.699699699699699806e+00,2.655318097599527489e-26,3.352990796635640601e-21,3.364309620169149948e-26,5.704696980130943758e-05
-9.679679679679679793e+00,3.900747506618402228e-26,3.743386893712532897e-21,4.873581186229042687e-26,5.966845488115259366e-05
-9.659659659659659781e+00,5.776985452376112164e-26,4.187293245298266583e-21,7.118899478070763113e-26,6.263373465504291720e-05
-9.639639639639639768e+00,8.631010715246849823e-26,4.693425497730208299e-21,1.049247100292923817e-25,6.601722591075290193e-05
-9.619619619619619755e+00,1.301842642728166275e-25,5.272228811889436560e-21,1.561621116432330335e-25,6.991562974676027002e-05
-9.599599599599599742e+00,1.984159544493809724e-25,5.936313104176858401e-21,2.349063316035738762e-25,7.445657675955058043e-05
-9.579579579579579729e+00,3.058933607995768070e-25,6.701033131844762064e-21,3.575136079562963188e-25,7.981147769330460245e-05
-9.559559559559559716e+00,4.776184775146262963e-25,7.585278329008123726e-21,5.512076231113216825e-25,8.621509662105378247e-05
-9.539539539539539703e+00,7.564253057163883897e-25,8.612575816908778343e-21,8.622294001234919446e-25,9.399619627444644264e-05
-9.519519519519519690e+00,1.217394699385408414e-24,9.812677812782353737e-21,1.370964267060870925e-24,1.036270501427115999e-04
-9.499499499499499677e+00,1.995659137262498464e-24,1.122392949362673150e-20,2.220949607640206313e-24,1.158063836219099229e-04
-9.479479479479479664e+00,3.342106674706696127e-24,1.289695527140523029e-20,3.676669257999273206e-24,1.316042950692012867e-04
-9.459459459459459651e+00,5.740135049214968276e-24,1.490069869756411583e-20,6.244066349687572791e-24,1.527283943292066088e-04
-9.439439439439439639e+00,1.016415695547587209e-23,1.733294672080485861e-20,1.093609695605781163e-23,1.820426444613286118e-04
-9.419419419419419626e+00,1.869222649452466089e-23,2.034009136658496531e-20,1.989929114969269781e-23,2.246556876196311120e-04
-9.399399399399399613e+00,3.608925120589199279e-23,2.415783395009959648e-20,3.802646168302621008e-23,2.904238481102493956e-04
-9.379379379379379600e+00,7.439367297161467698e-23,2.920552604151327330e-20,7.761178949154234410e-23,4.004400006798596056e-04
-9.359359359359359587e+00,1.684807138738305065e-22,3.634220646252113377e-20,1.740942484127548307e-22,6.068401743331207311e-04
-9.339339339339339574e+00,4.428513161679794990e-22,4.773907596546558254e-20,4.534200868126380018e-22,1.069608060626937168e-03
-9.319319319319319561e+00,1.537082306384849877e-21,7.119903950919759537e-20,1.559991588016021541e-21,2.499577386423939510e-03
-9.299299299299299548e+00,1.117721591755404596e-20,1.687402449440833386e-19,1.124923681161930047e-20,1.231276513423235769e-02
-9.279279279279279535e+00,2.784451256881338744e-19,7.583068302228710045e-19,2.780251922042077406e-19,2.094734380781025085e-01
-9.259259259259259522e+00,1.086051914849904597e-20,1.446317088478671381e-20,1.076342763847516528e-20,5.634649469339079141e-03
-9.239239239239239510e+00,4.762793644037734602e-21,2.686514642075711334e-20,4.687355913295494459e-21,1.723004392161654264e-03
-9.219219219219219497e+00,3.355564951064605216e-21,4.105720250499757948e-20,3.281102569093302547e-21,8.562359576708893170e-04
-9.199199199199199484e+00,2.933163814320623878e-21,5.580330584676687274e-20,2.851099803945161423e-21,5.338559449894280350e-04
-9.179179179179179471e+00,2.912094117315093190e-21,7.231983416343691305e-20,2.815468024486155558e-21,3.818847476967198915e-04
-9.159159159159159458e+00,3.153505248201060252e-21,9.178802172003951272e-20,3.034376040357570171e-21,3.004601120934842951e-04
-9.139139139139139445e+00,3.645566090954611071e-21,1.155092663219134076e-19,3.493404114590296197e-21,2.539362854566095382e-04
-9.119119119119119432e+00,4.443942038754202853e-21,1.451205708074492010e-19,4.243800807657779871e-21,2.271964246938592473e-04
-9.099099099099099419e+00,5.671220775036383277e-21,1.828493895621645223e-19,5.401070786502302646e-21,2.131707767965632648e-04
-9.079079079079079406e+00,7.546999405462165559e-21,2.318852188346231355e-19,7.173475540414304308e-21,2.085128035227808900e-04
-9.059059059059059393e+00,1.045626375401086599e-20,2.969915001970495463e-19,9.927568685663006789e-21,2.119509920024202057e-04
-9.039039039039039380e+00,1.508975508170758901e-20,3.855929549009986005e-19,1.432337601866336167e-20,2.237348256209764348e-04
-9.019019019019019368e+00,2.274050910892426204e-20,5.098424970163206617e-19,2.160111234076909135e-20,2.457290075653540285e-04
-8.998998998998999355e+00,3.597141169552773675e-20,6.908551097711360093e-19,3.422916386001899845e-20,2.822273995401590073e-04
-8.978978978978979342e+00,6.025381176815637767e-20,9.682088908125027575e-19,5.750102422384431753e-20,3.421680899088530483e-04
-8.958958958958959329e+00,1.084773825233624429e-19,1.423921275962870912e-18,1.039482471860087320e-19,4.450403432492695105e-04
-8.938938938938939316e+00,2.154684640318661769e-19,2.253375572644977705e-18,2.076041858709942949e-19,6.387958398684508805e-04
-8.918918918918919303e+00,4.967903501743371999e-19,4.029612706638386852e-18,4.820029625627105272e-19,1.067799874674677657e-03
-8.898898898898899290e+00,1.496399253206369029e-18,9.139669614449015036e-18,1.464442052121486758e-18,2.348605349029016763e-03
-8.878878878878879277e+00,8.816104869786319821e-18,3.921870212933520731e-17,8.718932542537838461e-18,1.022318085675323444e-02
-8.858858858858859264e+00,7.097935735194694915e-16,2.214064624875223785e-15,7.108930874544426288e-16,6.183262945158626289e-01
-8.838838838838839251e+00,9.783329073528379011e-18,2.049711292082182750e-17,9.947312169929109747e-18,6.539987516840096472e-03
-8.818818818818819238e+00,3.649884906626697481e-18,4.905551921826799237e-18,3.778167143644423696e-18,1.919422131288702187e-03
-8.798798798798799226e+00,2.284875957876334352e-18,1.897483240972753630e-18,2.416078846135266228e-18,9.711149179087808034e-04
-8.778778778778779213e+00,1.797332977589530700e-18,9.301775243229643478e-19,1.949354168265510125e-18,6.346325897923238034e-04
-8.758758758758759200e+00,1.613941787930460301e-18,5.957165815908837455e-19,1.804465790414713580e-18,4.864759467902600638e-04
-8.738738738738739187e+00,1.583185695900022354e-18,5.558707019302368807e-19,1.836414411363912590e-18,4.184294584041653225e-04
-8.718718718718719174e+00,1.656103978615535244e-18,7.163454941196758011e-19,2.009864449301941850e-18,3.946170053831214047e-04
-8.698698698698699161e+00,1.819596041786006020e-18,1.066647726889916841e-18,2.337415758713113524e-18,4.035438762829705243e-04
-8.678678678678679148e+00,2.076622340440368365e-18,1.638800638429808387e-18,2.871697805935140674e-18,4.466502933270265012e-04
-8.658658658658659135e+00,2.436019288121854065e-18,2.493745970277493282e-18,3.723727594088935583e-18,5.394157888941760164e-04
-8.638638638638639122e+00,2.895396042701558147e-18,3.704809979234367818e-18,5.122130493994253650e-18,7.269682083596941185e-04
-8.618618618618619109e+00,3.383369008270891274e-18,5.292977489734932525e-18,7.598379042855051058e-18,1.149047061353695607e-03
-8.598598598598599096e+00,3.523146306049335675e-18,6.978084148763015083e-18,1.278310990178442676e-17,2.399014990982868342e-03
-8.578578578578579084e+00,1.829883326588298053e-18,8.997967430401909123e-18,3.055652120187917812e-17,9.842452766918502460e-03
-8.558558558558559071e+00,1.082361861662279575e-15,2.706740141270157816e-15,6.452482434393585106e-16,9.661407499832240786e-01
-8.538538538538539058e+00,6.315885521144847979e-17,1.375165135483046854e-16,6.322420633326415014e-18,6.985630214297839508e-03
-8.518518518518519045e+00,7.179389314954554826e-17,1.609520490908139269e-16,2.372720282408745212e-17,2.197723331206555188e-03
-8.498498498498499032e+00,1.116507043156358713e-16,2.584110591990690780e-16,5.650777422388963746e-17,1.336272767974020425e-03
-8.478478478478479019e+00,2.085903224208479099e-16,4.937395354159206972e-16,1.334542960985958441e-16,1.222051248247463641e-03
-8.458458458458459006e+00,4.795398521290019952e-16,1.149106984140036498e-15,3.599123304844238422e-16,1.630358086657931419e-03
-8.438438438438438993e+00,1.573410233076465253e-15,3.781549375567968216e-15,1.337144881492829510e-15,3.534855655901117215e-03
-8.418418418418418980e+00,1.474893817980724236e-14,3.526499734588416931e-14,1.393659963279369426e-14,2.406899301510104575e-02
-8.398398398398398967e+00,3.540873884550505378e-14,8.364212340531972472e-14,3.685745530556117359e-14,4.481200997494937110e-02
-8.378378378378378954e+00,4.065000678874896070e-15,9.431721766031827529e-15,4.642313281142779894e-15,4.165921666006081395e-03
-8.358358358358358942e+00,1.854472954748178045e-15,4.206923981959073942e-15,2.322234994263596528e-15,1.581454473855834712e-03
-8.338338338338338929e+00,1.247727507699799257e-15,2.758132937688605969e-15,1.716699911009454109e-15,8.995725292776755736e-04
-8.318318318318318916e+00,1.018032303619944720e-15,2.188456145266987578e-15,1.545391664632226881e-15,6.254531967481901039e-04
-8.298298298298298903e+00,9.355648700129790020e-16,1.954973913925307552e-15,1.576656994507188746e-15,4.909825926423724016e-04
-8.278278278278278890e+00,9.341454605211850494e-16,1.900201982077900676e-15,1.762148261149701824e-15,4.182303760326133713e-04
-8.258258258258258877e+00,9.929456096743374064e-16,1.973697840695517064e-15,2.118833118263510849e-15,3.779528181902871444e-04
-8.238238238238238864e+00,1.109219550034860147e-15,2.169346865870377266e-15,2.713386435340834799e-15,3.574064066043484435e-04
-8.218218218218218851e+00,1.290585181353521046e-15,2.510990835166925385e-15,3.680551148067338125e-15,3.506498444741063892e-04
-8.198198198198198838e+00,1.552886018513535791e-15,3.056792575262727805e-15,5.275499072121854401e-15,3.550869558505114886e-04
-8.178178178178178825e+00,1.919332014139196560e-15,3.920595224467577184e-15,7.990120154169391518e-15,3.701696426003152980e-04
-8.158158158158158813e+00,2.417431332421824353e-15,5.324098609553997104e-15,1.281435011257986116e-14,3.970617863341193311e-04
-8.138138138138138800e+00,3.066322256569778854e-15,7.723141573329559439e-15,2.185704299985915374e-14,4.389737706535909640e-04
-8.118118118118118787e+00,3.835239196822349671e-15,1.213980448542633253e-14,3.993522997530266334e-14,5.023826205380826177e-04
-8.098098098098098774e+00,4.529084303480536987e-15,2.115000764131838727e-14,7.903951536170693937e-14,6.001151727325987556e-04
-8.078078078078078761e+00,4.575370528358669907e-15,4.233761802189163384e-14,1.724682512855409797e-13,7.594803882078021533e-04
-8.058058058058058748e+00,3.661252893980318743e-15,1.033148198228384829e-13,4.273596038776281646e-13,1.047283795603670600e-03
-8.038038038038038735e+00,1.886673653360977545e-14,3.408674663301910528e-13,1.271930636443123063e-12,1.669028868442021772e-03
-8.018018018018018722e+00,4.113133256077195513e-13,1.877603608507183898e-12,5.201130190402879470e-12,3.580370664100844015e-03
-7.997997997997997821e+00,1.740591084844850420e-11,3.436114927252544077e-11,5.067173677248582621e-11,1.939489795915151985e-02
-7.977977977977977808e+00,4.060943989726339733e-10,5.105825949098666666e-10,1.965919389157879515e-10,6.567783043452365965e-02
-7.957957957957957795e+00,2.662770170104796164e-10,2.836235033232184056e-10,1.006989654816465643e-12,8.909156909774113356e-03
-7.937937937937937782e+00,5.117332965087325894e-09,5.857398798425232252e-09,2.825465095888050696e-09,6.919165556227695191e-02
-7.917917917917917769e+00,3.045022674944112701e-09,4.884721529484627243e-09,8.529269820070031881e-09,1.780457637854698447e-02
-7.897897897897897757e+00,1.937856504878833139e-03,9.077153811630560634e-03,3.929086802830263070e-02,3.790381600302772824e+00
-7.877877877877877744e+00,9.456424856010420266e-03,3.165802837284984600e-02,1.726099652273262453e-01,8.010128375549607327e+00
-7.857857857857857731e+00,1.432930210818233845e-02,3.719738962223488599e-02,2.461195826870253012e-01,9.691578937388658943e+00
-7.837837837837837718e+00,1.767556700296901706e-02,3.721310114865908347e-02,2.981438794175002571e-01,1.070918230196868848e+01
-7.817817817817817705e+00,1.967508277572633385e-02,3.438328652663755203e-02,3.421680094779024905e-01,1.138094188147383967e+01
-7.797797797797797692e+00,2.017810533073501403e-02,2.947702401922618412e-02,3.852964834421104268e-01,1.183864330998325620e+01
-7.777777777777777679e+00,1.886184918827969736e-02,2.283447427440461752e-02,4.328283341715422061e-01,1.217094217227966979e+01
-7.757757757757757666e+00,1.540213194381916118e-02,1.508509422075558770e-02,4.899423130401126536e-01,1.246218621902999146e+01
-7.737737737737737653e+00,1.002928905533129536e-02,8.239562492592337334e-03,5.618992658806084561e-01,1.281121068727888179e+01
-7.717717717717717640e+00,5.379676214356659929e-03,8.186125334813238591e-03,6.506139909850273684e-01,1.333222687240748527e+01
-7.697697697697697627e+00,1.116278899116767039e-02,2.882258172123824957e-02,7.397996013540583116e-01,1.407198408686543090e+01
-7.677677677677677615e+00,4.706894660751101411e-02,8.781897557360324180e-02,7.674099272423391405e-01,1.470752950569560369e+01
-7.657657657657657602e+00,1.184548135792155982e-01,1.709325704593205875e-01,6.657311885159831188e-01,1.446470086309072833e+01
-7.637637637637637589e+00,1.897713544677905873e-01,2.268349630852287413e-01,4.960952123602694330e-01,1.327346323905792680e+01
-7.617617617617617576e+00,2.357547913708390730e-01,2.416278550170112838e-01,3.629915580182280221e-01,1.191873982829747725e+01
-7.597597597597597563e+00,2.625297294566942830e-01,2.348602968034545213e-01,2.853861407559629138e-01,1.082596116695680344e+01
-7.577577577577577550e+00,2.808533240380144957e-01,2.213904012439425473e-01,2.437900589619855229e-01,1.001239516676154828e+01
-7.557557557557557537e+00,2.967668265071571332e-01,2.071580349487425199e-01,2.211069105974669824e-01,9.404664551139202189e+00
-7.537537537537537524e+00,3.129929714011883135e-01,1.939802317382165187e-01,2.075784723147526822e-01,8.943736751949924013e+00
-7.517517517517517511e+00,3.306895898155498559e-01,1.822681252983266720e-01,1.980309179990740187e-01,8.594579736147775151e+00
-7.497497497497497498e+00,3.502619307256454873e-01,1.720616606100736357e-01,1.896428136568998335e-01,8.340264337406816608e+00
-7.477477477477477485e+00,3.715948733012528482e-01,1.634134852969295060e-01,1.807481379574525926e-01,8.179181332230347934e+00
-7.457457457457457473e+00,3.938872424705116559e-01,1.566004374188900705e-01,1.702435150278345244e-01,8.131185335121291047e+00
-7.437437437437437460e+00,4.148169275913989318e-01,1.524326716805133874e-01,1.573803572600104839e-01,8.268536715502843748e+00
-7.417417417417417447e+00,4.271696069615170677e-01,1.531309704296634489e-01,1.425390930944218371e-01,8.857220107865828140e+00
-7.397397397397397434e+00,3.992432160344552283e-01,1.653394341750859253e-01,1.382062460849306507e-01,1.130735395287700662e+01
-7.377377377377377421e+00,1.255339188036693199e-01,1.680191733387086939e-01,4.052904741634926755e-01,2.875065724547538437e+01
-7.357357357357357408e+00,5.368989540034987407e-01,7.429324295612421865e-03,4.462846236154534019e-01,1.675575808393966071e+01
-7.337337337337337395e+00,6.766900302969813819e-01,3.569431439798460837e-02,2.351784026072238909e-01,9.359230978120846700e+00
-7.317317317317317382e+00,7.420263945275415995e-01,1.130484276753826456e-01,1.813093818470434548e-01,1.169069145100781881e+01
-7.297297297297297369e+00,7.728887267033418551e-01,2.196582209969180077e-01,2.221477170585305916e-01,1.430194787190537475e+01
-7.277277277277277356e+00,7.927861491893102297e-01,2.818443187125292959e-01,2.453790844740454391e-01,1.533714553840551531e+01
-7.257257257257257343e+00,8.053680985910269818e-01,3.255895750608863715e-01,2.624724377720150104e-01,1.584044130420403285e+01
-7.237237237237237331e+00,8.132306228740558973e-01,3.588807173524890537e-01,2.770485415636946280e-01,1.605605511813449127e+01
-7.217217217217217318e+00,8.177063088493771170e-01,3.853176723224088773e-01,2.907206338472850260e-01,1.608985402558215583e+01
-7.197197197197197305e+00,8.195183891285405808e-01,4.067901589982317323e-01,3.043493227240065546e-01,1.600100651737128388e+01
-7.177177177177177292e+00,8.190865801647283506e-01,4.243716646463747688e-01,3.184581332732918657e-01,1.582796823816050313e+01
-7.157157157157157279e+00,8.166764004379784003e-01,4.386912869091167400e-01,3.333993540472379169e-01,1.559837366011903015e+01
-7.137137137137137266e+00,8.124810288247998891e-01,4.501110548836695369e-01,3.494266783765525575e-01,1.533349845503550313e+01
-7.117117117117117253e+00,8.066730866944631373e-01,4.588197453991184616e-01,3.667269435645432729e-01,1.505048364395329230e+01
-7.097097097097097240e+00,7.994427740964896723e-01,4.648877703516928195e-01,3.854311507926645453e-01,1.476348942278591814e+01
